"","Latitude","Longitude","Place","As","Cr","Zn"
"110",33.15364,-117.18883,"Santa Ana",2.7,39,79
"111",33.72073,-117.33516,"Santa Ana",40.1,24,111
"112",33.17414,-116.73811,"Santa Ana",0.6,63,75
"113",35.54802,-117.04894,"Trona",8.8,26,64
"114",33.59462,-116.40804,"Santa Ana",0.6,61,98
"115",35.90996,-117.69209,"Trona",4.5,17,49
"116",33.27163,-116.94334,"Santa Ana",1.6,20,78
"117",34.00193,-118.03043,"Los Angeles",4.2,33,55
"118",33.93285,-117.56155,"Santa Ana",4.6,41,80
"119",33.39418,-116.3739,"Santa Ana",2.6,49,111
"120",33.78285,-116.64256,"Santa Ana",0.9,12,108
"121",33.72318,-116.06415,"Santa Ana",2.5,26,133
"122",33.7998,-116.3958,"Santa Ana",1.5,25,76
"123",33.66213,-117.58386,"Santa Ana",3.1,32,123
"124",33.55383,-117.23181,"Santa Ana",3.2,62,58
"125",33.1381,-116.28984,"Santa Ana",1.5,13,77
"126",33.94813,-116.91987,"Santa Ana",2.7,23,49
"127",33.66519,-116.32395,"Santa Ana",1.9,13,92
"128",33.56798,-116.50218,"Santa Ana",3.4,72,103
"129",32.96719,-116.41759,"San Diego",1.6,48,88
"130",34.04135,-118.59624,"Los Angeles",7.5,74,54
"131",33.35516,-116.74213,"Santa Ana",1.3,35,133
"132",32.58446,-116.61096,"San Diego",1.2,123,74
"133",33.21404,-116.1691,"Santa Ana",4.4,10,41
"134",35.34169,-117.04129,"Trona",10.3,25,60
"135",33.86014,-116.26811,"Santa Ana",2.1,46,94
"136",35.74008,-117.72928,"Trona",7,16,48
"137",33.01242,-116.16747,"Santa Ana",5.8,19,52
"138",33.40489,-117.56868,"Santa Ana",7.3,38,45
"139",33.05392,-116.71663,"Santa Ana",1.6,58,60
"140",33.47066,-117.47364,"Santa Ana",10,34,93
"141",33.72426,-117.16678,"Santa Ana",2.9,36,78
"142",33.51423,-117.62042,"Santa Ana",4.3,30,49
"143",33.81349,-116.52653,"Santa Ana",1.2,39,101
"144",33.61978,-117.06982,"Santa Ana",1.7,91,67
"145",33.6646,-117.39581,"Santa Ana",3,46,90
"146",32.91069,-115.87905,"El Centro",4.9,12,35
"147",32.64274,-116.18134,"San Diego",6.8,69,124
"148",33.55723,-116.21264,"Santa Ana",3.5,42,114
"149",33.86033,-117.71052,"Santa Ana",9.7,20,41
"150",33.46897,-116.95314,"Santa Ana",2.1,27,82
"151",34.93097,-118.60677,"Los Angeles",4.6,26,151
"152",37.81088,-119.70963,"Mariposa",1.8,24,71
"153",37.85138,-120.24601,"San Jose",1.1,26,30
"154",37.87694,-120.10368,"San Jose",9.7,52,49
"155",37.48852,-120.2015,"San Jose",9.6,68,48
"156",33.94143,-118.16648,"Long Beach",10.2,97,115
"157",37.32903,-120.07236,"San Jose",1.8,48,82
"158",33.92404,-118.31123,"Long Beach",4.4,29,73
"159",37.34665,-120.2108,"San Jose",6.5,86,57
"160",33.73944,-118.35683,"Long Beach",4.2,57,61
"161",37.96215,-120.70044,"San Jose",7.3,52,58
"162",37.2648,-120.03877,"San Jose",7.5,92,79
"163",37.95453,-120.35365,"San Jose",8.8,56,74
"164",33.76299,-118.02254,"Long Beach",6.2,44,256
"165",37.69853,-120.12818,"San Jose",8,23,47
"166",37.77109,-120.4895,"San Jose",3.7,27,60
"167",37.43069,-120.17832,"San Jose",3.4,26,33
"168",37.8036,-120.11918,"San Jose",3,41,47
"169",37.18384,-118.6008,"Mariposa",2.5,16,66
"170",33.65799,-117.98555,"Santa Ana",6.2,39,150
"171",37.71083,-120.21741,"San Jose",42.2,89,86
"172",37.9513,-120.5412,"San Jose",3.8,362,48
"173",37.61387,-122.41453,"San Francisco",3.2,225,49
"174",34.09978,-119.07612,"Los Angeles",2.7,240,71
"175",34.17411,-118.81056,"Los Angeles",13.5,24,84
"176",34.56295,-119.84493,"Los Angeles",5.8,38,45
"177",34.79395,-119.57255,"Los Angeles",6.3,28,56
"178",34.14634,-119.18984,"Los Angeles",7.6,24,110
"179",37.32992,-122.26524,"San Francisco",1.5,93,56
