"","Latitude","Longitude","Place","As","Cr","Zn"
"1383",35.1968,-115.4281,"Kingman",NA,13,66
"2222",34.3562,-115.5358,"Needles",NA,92,63
"53",37.66777,-119.5182,"Mariposa",2.9,10,56
"2996",34.6987,-117.053,"San Bernardino",NA,16,73
"1374",34.9828,-117.864,"San Bernardino",8.2,20,71
"427",35.47599,-116.17586,"Trona",4.9,20,40
"4700",40.4247,-123.08669,"Redding",1.8,44,106
"4089",36.80765,-120.51201,"Monterey",12,120,110
"4047",37.58663,-120.75125,"San Jose",3.7,19,83
"3072",34.7213,-116.7888,"San Bernardino",NA,52,53
"1107",36.5939,-121.9293,"Monterey",-0.6,7,4
"5102",41.32079,-122.5586,"Weed",4.9,1210,115
"516",36.05465,-118.71664,"Fresno",1.7,23,84
"3595",34.1461,-117.7551,"San Bernardino",NA,91,110
"1798",34.8475,-115.7847,"Needles",NA,34,56
"4077",36.63411,-120.44306,"Monterey",8.9,110,93
"3852",34.0423,-116.6986,"San Bernardino",NA,120,120
"4833",40.82545,-122.66688,"Redding",10.8,100,148
"2393",34.0461,-115.8742,"Needles",NA,170,89
"4492",39.61927,-120.16463,"Chico",3.5,32,134
"1434",35.3375,-115.179,"Kingman",NA,100,100
"2281",34.4822,-114.9331,"Needles",NA,49,87
"2051",34.5116,-115.2573,"Needles",NA,42,59
"3143",34.6936,-116.3188,"San Bernardino",10,100,82
"1455",35.2907,-115.3724,"Kingman",NA,24,89
"198",34.12661,-118.85424,"Los Angeles",9.7,42,97
"2266",34.4296,-115.2231,"Needles",4.3,42,68
"5072",41.14435,-123.8508,"Weed",8.3,67,93
"4924",39.09103,-122.75072,"Ukiah",8.7,34,75
"4902",38.74138,-122.51371,"Santa Rosa",6.7,348,87
"3369",34.335,-117.0161,"San Bernardino",NA,100,63
"189",37.08988,-121.71953,"San Jose",4.3,405,99
"4438",39.30008,-120.92636,"Chico",4.2,57,165
"4681",40.56782,-122.1336,"Redding",6.1,21,58
"3466",34.2769,-116.6382,"San Bernardino",NA,140,57
"137",33.01242,-116.16747,"Santa Ana",5.8,19,52
"4531",39.16433,-120.39532,"Chico",6.9,43,105
"2649",34.9131,-117.7129,"San Bernardino",NA,37,43
"315",35.77581,-115.89518,"Kingman",3.9,23,240
"3839",34.2394,-116.5226,"San Bernardino",NA,34,100
"4120",36.97003,-119.81786,"Fresno",1.8,80,140
"3681",34.175,-117.3261,"San Bernardino",NA,66,100
"3050",34.6841,-116.9781,"San Bernardino",NA,66,92
"5136",41.12686,-123.13338,"Weed",3.3,122,70
"3028",34.5681,-117.0508,"San Bernardino",NA,61,99
"799",34.72687,-115.66594,"Needles",4.6,33,78
"4431",41.05306,-120.69138,"Alturas",1.8,70,124
"611",35.47204,-118.83037,"Bakersfield",3.8,37,89
"4507",40.91969,-121.49175,"Susanville",2.4,40,102
"2471",34.1028,-115.4495,"Needles",NA,31,59
"3001",34.6296,-117.0177,"San Bernardino",NA,52,69
"1047",37.112,-117.6482,"Goldfield",9.8,13,38
"1872",34.8175,-115.7287,"Needles",NA,24,58
"4058",36.89995,-120.55094,"Monterey",10,140,120
"2017",34.6081,-115.951,"Needles",NA,59,57
"534",35.6437,-117.27775,"Trona",22.1,6,40
"4233",37.98536,-121.59943,"San Jose",3.3,56,48
"3355",34.4633,-117.1723,"San Bernardino",NA,62,88
"5050",38.67802,-122.03326,"Santa Rosa",7.1,101,66
"1130",36.5247,-117.688,"Death Valley",10.9,34,104
"3842",34.1221,-116.5884,"San Bernardino",NA,74,72
"2167",34.7376,-114.6393,"Needles",NA,120,110
"3691",34.1522,-117.3102,"San Bernardino",NA,190,100
"4646",40.20837,-121.77615,"Susanville",4.7,160,136
"683",36.0458,-120.66005,"Monterey",4.9,41,41
"3175",34.6181,-116.3308,"San Bernardino",NA,18,41
"4572",40.79487,-120.85546,"Susanville",2.6,111,110
"861",35.5733,-118.1983,"Bakersfield",3.6,16,131
"4701",40.4247,-123.08669,"Redding",2.5,64,107
"981",33.1934,-115.9418,"Salton Sea",8.7,12,45
"1464",35.2109,-115.095,"Kingman",NA,140,130
"3331",34.3627,-117.3573,"San Bernardino",NA,44,47
"950",35.7197,-116.227,"Trona",8.1,24,52
"4290",41.5608,-120.318,"Alturas",NA,150,230
"2168",34.7126,-114.6325,"Needles",NA,110,98
"4396",39.52231,-120.87185,"Chico",7.4,42,142
"4166",36.33347,-119.20935,"Fresno",11,51,100
"3385",34.2788,-117.2258,"San Bernardino",NA,13,56
"1228",35.2977,-120.4837,"San Luis Obispo",2.9,10,48
"2570",34.1578,-114.8531,"Needles",NA,49,59
"1933",34.7939,-115.0212,"Needles",NA,30,74
"2930",34.7261,-117.5566,"San Bernardino",NA,35,60
"5021",40.45986,-123.35313,"Redding",2.2,603,148
"2041",34.7471,-115.3244,"Needles",3.9,75,100
"4563",40.61889,-120.62613,"Susanville",4.4,123,93
"2180",34.2985,-115.977,"Needles",3.1,43,72
"1568",35.6913,-115.7777,"Kingman",NA,26,51
"254",37.79066,-121.80817,"San Jose",5.9,56,56
"375",37.46224,-117.94693,"Goldfield",1.6,14,68
"3064",34.5887,-116.8734,"San Bernardino",NA,75,83
"2368",34.255,-114.3063,"Needles",NA,97,68
"2127",34.686,-114.6141,"Needles",NA,53,89
"3007",34.7181,-117.2488,"San Bernardino",NA,34,91
"2362",34.3304,-114.2883,"Needles",NA,69,120
"2513",34.1225,-115.2476,"Needles",NA,26,47
"2527",34.187,-115.1593,"Needles",NA,35,64
"3845",34.1078,-116.6307,"San Bernardino",NA,61,83
"2106",34.5622,-114.8999,"Needles",NA,48,72
"2607",34.207,-114.3974,"Needles",NA,76,120
"2055",34.667,-115.4773,"Needles",NA,39,56
"596",37.92011,-118.46151,"Mariposa",5.3,10,66
"3412",34.3035,-116.8684,"San Bernardino",NA,27,90
"2349",34.371,-114.4845,"Needles",NA,170,94
"4689",40.17502,-122.42368,"Redding",3.3,103,75
"2957",34.6033,-117.6837,"San Bernardino",NA,44,48
"4713",39.74545,-121.81345,"Chico",5.5,211,85
"3668",34.078,-117.6315,"San Bernardino",NA,67,160
"1352",33.1692,-115.6333,"Salton Sea",5.9,8,61
"3544",34.3328,-116.48,"San Bernardino",NA,55,94
"2397",34.0823,-115.8715,"Needles",NA,100,78
"776",34.4387,-115.55487,"Needles",3.3,14,33
"3721",34.2358,-117.4402,"San Bernardino",NA,49,89
"4257",41.185,-120.1655,"Alturas",NA,56,120
"2064",34.6937,-115.1475,"Needles",NA,31,49
"2760",34.8153,-116.9862,"San Bernardino",NA,53,71
"4994",41.87321,-124.02862,"Eureka",1.4,289,36
"2594",34.018,-114.6667,"Needles",NA,59,67
"3768",34.1934,-117.1762,"San Bernardino",NA,NA,NA
"5077",41.01262,-122.53049,"Weed",5.8,2410,126
"4394",39.49272,-120.96035,"Chico",10.4,51,117
"2330",34.2591,-114.5844,"Needles",NA,51,86
"3368",34.3111,-117.0813,"San Bernardino",NA,75,20
"4081",35.91241,-119.35265,"Bakersfield",7.2,48,94
"1419",35.202,-114.9876,"Kingman",NA,83,91
"1923",34.8943,-115.1715,"Needles",NA,36,46
"4647",40.20837,-121.77615,"Susanville",4.6,210,132
"4897",38.65569,-122.80907,"Santa Rosa",4.2,123,73
"4132",35.44618,-119.01484,"Bakersfield",6.5,34,64
"725",35.34164,-120.23035,"San Luis Obispo",2.2,30,54
"13",32.8928,-114.64728,"El Centro",4.3,10,36
"4602",40.98486,-121.07098,"Susanville",2.7,140,108
"2781",34.9236,-116.7806,"San Bernardino",NA,28,170
"1361",33.0891,-115.8112,"Salton Sea",4.5,8,42
"4262",41.0252,-120.0116,"Alturas",NA,35,97
"2182",34.3047,-115.908,"Needles",NA,54,70
"4687",40.01866,-122.53448,"Redding",10.3,79,81
"144",33.61978,-117.06982,"Santa Ana",1.7,91,67
"2244",34.2522,-115.4284,"Needles",NA,28,38
"4467",41.94166,-121.46609,"Alturas",4.6,42,66
"1909",34.8842,-115.4845,"Needles",NA,33,43
"4048",35.84819,-119.04651,"Bakersfield",4,47,73
"3973",35.17331,-119.05711,"Bakersfield",5,31,76
"224",37.06291,-121.18001,"San Jose",4.8,77,52
"1884",34.783,-115.5757,"Needles",NA,31,53
"4091",36.72656,-120.44137,"Monterey",9.4,100,79
"3609",34.0474,-117.9066,"San Bernardino",NA,45,69
"3083",34.5547,-116.7878,"San Bernardino",NA,52,79
"938",35.3819,-116.8017,"Trona",4.5,28,62
"813",33.11926,-115.45873,"Salton Sea",2.7,12,31
"574",37.8043,-118.44818,"Mariposa",10.2,9,75
"865",35.8619,-119.6213,"Bakersfield",5.1,8,61
"4990",41.60988,-124.0957,"Eureka",8.2,98,111
"1757",35.6743,-115.6232,"Kingman",NA,43,63
"985",33.0266,-114.5244,"Salton Sea",2.4,3,21
"4268",41.0638,-120.2369,"Alturas",NA,75,90
"2369",34.2556,-114.3885,"Needles",NA,75,80
"470",34.45679,-116.44415,"San Bernardino",2,36,72
"3409",34.3691,-116.9463,"San Bernardino",NA,22,85
"3584",34.0492,-117.8272,"San Bernardino",NA,67,130
"4690",40.17502,-122.42368,"Redding",4.4,137,70
"3181",34.5499,-116.3371,"San Bernardino",NA,50,160
"4511",41.33362,-121.54009,"Alturas",2.6,63,136
"2117",34.6703,-114.8857,"Needles",NA,59,66
"261",34.99121,-120.19031,"Santa Maria",7.7,38,74
"3631",34.1434,-117.5966,"San Bernardino",NA,140,200
"4923",39.18499,-123.02761,"Ukiah",7.7,119,168
"116",33.27163,-116.94334,"Santa Ana",1.6,20,78
"327",33.12694,-115.94643,"Salton Sea",3.3,5,33
"2918",34.6285,-117.8972,"San Bernardino",NA,57,61
"1809",34.9701,-115.6128,"Needles",NA,32,140
"545",37.52252,-119.63461,"Mariposa",1.8,15,76
"410",35.06173,-116.29314,"Trona",3.7,15,29
"774",34.6203,-115.01866,"Needles",9.1,38,67
"391",36.19863,-116.58715,"Death Valley",4.4,26,79
"2303",34.3345,-114.6537,"Needles",NA,53,60
"2731",34.8185,-117.0518,"San Bernardino",NA,54,61
"3635",34.0826,-117.557,"San Bernardino",NA,57,120
"4829",40.95261,-122.40752,"Redding",8.2,53,111
"3255",34.4918,-117.6058,"San Bernardino",NA,120,110
"2107",34.5749,-114.9184,"Needles",4.9,53,80
"4678",40.80294,-121.98023,"Susanville",7.5,67,78
"1277",35.9172,-120.2523,"San Luis Obispo",4.5,37,39
"1417",35.2318,-114.9891,"Kingman",NA,41,140
"2686",34.7521,-117.6321,"San Bernardino",NA,50,77
"320",34.6352,-116.58769,"San Bernardino",8.6,21,55
"2650",34.9106,-117.6727,"San Bernardino",NA,38,46
"5067",39.83237,-123.58553,"Ukiah",5.7,134,85
"2452",34.1998,-115.616,"Needles",NA,39,47
"1911",34.9306,-115.0698,"Needles",NA,49,52
"2003",34.7096,-115.8237,"Needles",NA,54,61
"3241",34.4195,-117.7983,"San Bernardino",NA,93,110
"3931",35.74635,-119.39991,"Bakersfield",20,53,71
"2366",34.2833,-114.2808,"Needles",NA,59,110
"2517",34.0422,-115.1912,"Needles",NA,42,57
"1125",38.6399,-121.7748,"Sacramento",8.5,136,75
"3997",36.91679,-119.84595,"Fresno",1.9,24,52
"4145",35.19108,-119.16336,"Bakersfield",8.1,38,73
"3986",36.0921,-119.85189,"Fresno",8.3,87,110
"2173",34.7195,-114.7404,"Needles",NA,69,110
"3531",34.3947,-116.4015,"San Bernardino",NA,46,53
"1629",35.1295,-115.2571,"Kingman",NA,93,77
"3920",36.30266,-119.85127,"Fresno",4.9,50,67
"444",35.18941,-115.58791,"Kingman",4.3,36,64
"5122",41.92976,-123.64384,"Weed",0.8,1550,100
"2054",34.6602,-115.4537,"Needles",NA,72,68
"2251",34.308,-115.146,"Needles",NA,45,55
"3497",34.4603,-116.6378,"San Bernardino",NA,44,65
"4142",37.27132,-120.90343,"San Jose",11,71,59
"3278",34.4897,-117.6775,"San Bernardino",NA,73,88
"2876",34.7768,-116.0981,"San Bernardino",NA,88,73
"4976",39.22486,-121.7854,"Chico",11.2,156,69
"2254",34.361,-115.166,"Needles",NA,39,55
"4655",38.46895,-122.14149,"Santa Rosa",12.1,82,124
"1963",34.9053,-114.8204,"Needles",NA,57,88
"2317",34.32,-114.5467,"Needles",NA,61,71
"1773",35.7877,-115.9588,"Kingman",NA,17,92
"710",36.6731,-121.09781,"Monterey",8.9,184,81
"1769",35.9644,-115.962,"Kingman",NA,29,45
"1876",34.9698,-115.5029,"Needles",NA,25,74
"3528",34.4716,-116.3899,"San Bernardino",NA,36,35
"2826",34.8421,-116.4192,"San Bernardino",NA,44,60
"4236",36.19443,-119.47323,"Fresno",3.8,40,70
"3398",34.2737,-116.9398,"San Bernardino",NA,88,84
"1420",35.0919,-114.9815,"Kingman",NA,42,61
"3812",34.0437,-116.8367,"San Bernardino",NA,92,89
"2987",34.6902,-117.4777,"San Bernardino",4.4,69,90
"5090",41.2435,-122.64415,"Weed",9.9,1410,96
"2379",34.3082,-114.2136,"Needles",NA,87,270
"3942",36.85081,-119.79757,"Fresno",2.1,28,46
"616",36.89379,-119.21926,"Fresno",-0.6,17,98
"448",35.21204,-117.97346,"Trona",7.4,18,78
"4580",40.33953,-120.91409,"Susanville",7.7,91,98
"2748",34.7823,-117.1332,"San Bernardino",NA,55,75
"5130",41.15903,-124.09254,"Eureka",6.1,243,105
"3640",34.0884,-117.5919,"San Bernardino",NA,65,120
"454",34.52836,-115.11287,"Needles",2.1,12,77
"2514",34.1452,-115.2362,"Needles",3.9,32,53
"2268",34.4961,-115.2064,"Needles",NA,32,69
"645",35.82332,-118.11361,"Bakersfield",1,75,90
"2529",34.0114,-114.8763,"Needles",3.7,42,40
"3150",34.6572,-116.4333,"San Bernardino",NA,67,86
"902",35.5497,-117.8978,"Trona",1.9,5,50
"3242",34.4097,-117.8212,"San Bernardino",NA,160,100
"2091",34.5015,-115.0617,"Needles",NA,41,63
"2883",34.8116,-116.1007,"San Bernardino",NA,94,86
"4060",36.66763,-120.29536,"Monterey",4.6,61,51
"3891",34.2135,-116.3563,"San Bernardino",NA,71,110
"4770",39.80268,-122.28629,"Ukiah",4.9,132,65
"3043",34.5434,-117.2287,"San Bernardino",NA,49,100
"2755",34.9531,-116.8942,"San Bernardino",NA,49,590
"4761",39.62502,-122.16058,"Ukiah",6.1,179,94
"2344",34.4097,-114.4361,"Needles",NA,92,75
"2795",34.9658,-116.6323,"San Bernardino",NA,36,67
"4309",41.5641,-120.1847,"Alturas",NA,42,68
"1966",34.752,-114.6654,"Needles",NA,93,86
"3341",34.3063,-117.3311,"San Bernardino",NA,48,120
"5053",39.35823,-123.75027,"Ukiah",1.1,37,6
"1044",36.432,-117.3915,"Death Valley",7.5,31,207
"589",35.21982,-118.8498,"Bakersfield",27.2,39,100
"2935",34.6603,-117.5611,"San Bernardino",NA,68,84
"3893",34.1465,-116.3974,"San Bernardino",NA,46,82
"2714",34.8403,-117.2568,"San Bernardino",NA,100,77
"903",35.1614,-116.1082,"Trona",7.8,11,61
"3200",34.6548,-116.0232,"San Bernardino",NA,85,71
"1653",35.0433,-115.4135,"Kingman",NA,32,87
"4301",41.8569,-120.0772,"Alturas",NA,67,64
"4831",40.70315,-122.41777,"Redding",11.7,116,108
"2656",34.8784,-117.6286,"San Bernardino",NA,40,49
"4202",35.19214,-118.93216,"Bakersfield",NA,40,67
"1803",34.9969,-115.6213,"Needles",NA,39,60
"2274",34.4596,-114.7848,"Needles",NA,52,77
"2231",34.3452,-115.3429,"Needles",NA,34,42
"4581",40.33639,-120.8253,"Susanville",3.1,88,148
"2354",34.3376,-114.4275,"Needles",NA,98,98
"1533",35.178,-115.5142,"Kingman",NA,57,63
"4364",39.77955,-122.6769,"Ukiah",5.4,123,154
"4825",41.12353,-122.29441,"Weed",4,120,82
"2014",34.7408,-115.7816,"Needles",NA,44,72
"1917",34.8278,-115.0301,"Needles",NA,46,280
"5069",39.82642,-123.33563,"Ukiah",7.6,95,104
"469",35.93185,-116.57482,"Trona",8.8,24,76
"5084",41.26474,-123.14793,"Weed",11.5,129,96
"1436",35.3013,-115.2271,"Kingman",NA,160,110
"217",34.47192,-120.32094,"Santa Maria",14.8,129,111
"3485",34.3668,-116.5594,"San Bernardino",NA,57,80
"2179",34.524,-114.4736,"Needles",NA,58,59
"3337",34.3592,-117.2502,"San Bernardino",NA,38,72
"3642",34.2107,-117.5128,"San Bernardino",NA,28,110
"812",33.9317,-115.05559,"Salton Sea",2.8,9,49
"4818",41.59216,-122.54381,"Weed",4.9,52,82
"4022",35.56458,-119.55236,"Bakersfield",6.8,55,88
"398",35.02861,-117.70202,"Trona",12.2,19,35
"3761",34.1081,-117.2075,"San Bernardino",NA,33,110
"2956",34.5926,-117.6394,"San Bernardino",NA,130,66
"2057",34.5739,-115.4801,"Needles",NA,38,79
"2269",34.4865,-114.763,"Needles",NA,61,98
"1202",36.6706,-118.2241,"Fresno",1.6,12,79
"4466",41.94166,-121.46609,"Alturas",4.3,44,72
"2965",34.5625,-117.2815,"San Bernardino",NA,41,100
"4548",40.95787,-120.51076,"Susanville",2.3,31,83
"4440",39.3091,-120.62985,"Chico",3.3,17,63
"2868",34.9047,-116.1542,"San Bernardino",NA,47,82
"1362",33.4125,-114.8128,"Salton Sea",5.8,11,56
"44",36.45284,-117.08674,"Death Valley",19.5,35,81
"235",37.37773,-121.28495,"San Jose",13.6,51,87
"2648",34.9443,-117.7164,"San Bernardino",NA,29,42
"3947",36.71439,-119.74744,"Fresno",2.5,120,75
"1824",34.9334,-115.9951,"Needles",NA,41,64
"1897",34.9155,-115.4567,"Needles",NA,28,48
"4750",39.1645,-122.39627,"Ukiah",6.9,142,105
"1000",33.8729,-115.6469,"Salton Sea",3.7,33,82
"732",36.96321,-120.90238,"Monterey",7.7,39,56
"2858",34.9359,-116.4506,"San Bernardino",NA,42,51
"879",35.0352,-119.7619,"Bakersfield",8.9,35,74
"4651",40.22899,-121.79738,"Susanville",5.2,179,87
"3574",34.3343,-116.0565,"San Bernardino",NA,91,85
"1499",35.3755,-115.7571,"Kingman",NA,63,80
"3655",34.108,-117.7474,"San Bernardino",NA,68,170
"651",36.96823,-121.8588,"Monterey",2.5,188,73
"4805",41.50933,-122.92703,"Weed",1.3,189,84
"3449",34.2763,-116.7491,"San Bernardino",NA,73,100
"1049",38.4952,-120.8275,"Sacramento",2.8,105,68
"572",37.74139,-118.2301,"Mariposa",28.7,38,205
"2841",34.9281,-116.3903,"San Bernardino",NA,55,58
"192",37.0774,-121.9384,"San Jose",3.1,109,79
"1022",36.5151,-120.4249,"Monterey",10.1,61,99
"3167",34.5882,-116.4732,"San Bernardino",NA,63,68
"521",35.57579,-116.46925,"Trona",5.1,14,120
"2218",34.2605,-115.5585,"Needles",NA,43,68
"2688",34.7878,-117.5958,"San Bernardino",NA,58,63
"5057",39.54678,-123.66384,"Ukiah",5.7,97,85
"323",35.44997,-115.33401,"Kingman",4.1,14,56
"2286",34.3749,-114.7575,"Needles",NA,100,110
"4827",40.94114,-122.52238,"Redding",14.1,85,294
"4240",35.0715,-118.9475,"Bakersfield",12,97,72
"884",35.2933,-119.9659,"Bakersfield",7,75,101
"4803",41.62068,-123.0023,"Weed",4,1740,132
"5128",40.99429,-124.11881,"Eureka",4.9,93,43
"1405",35.4794,-115.4612,"Kingman",NA,62,85
"1605",35.174,-114.9872,"Kingman",4.3,61,77
"1920",34.8886,-115.0293,"Needles",NA,57,120
"777",34.57852,-115.76638,"Needles",4.1,40,66
"1336",37.0143,-119.0787,"Mariposa",3.4,23,100
"531",37.91938,-119.35474,"Mariposa",2.4,7,37
"1056",38.1892,-118.9346,"Walker Lake",3.9,24,83
"3103",34.6824,-116.6287,"San Bernardino",NA,98,65
"2203",34.4642,-115.9756,"Needles",NA,47,50
"209",34.30347,-118.70444,"Los Angeles",3,6,28
"4837",40.67906,-122.81152,"Redding",1.8,121,103
"3936",37.04055,-120.66166,"San Jose",6.3,53,55
"941",35.8403,-117.1815,"Trona",8,42,67
"3990",36.52583,-119.94445,"Fresno",1.9,25,110
"593",37.82783,-118.7666,"Mariposa",4.5,6,43
"1077",36.5158,-117.8549,"Death Valley",29.4,12,103
"514",35.83891,-118.71955,"Bakersfield",7.9,22,91
"3476",34.3205,-116.5574,"San Bernardino",NA,49,120
"1122",38.5114,-121.2684,"Sacramento",11.7,107,98
"3983",36.61826,-119.89641,"Fresno",1.7,21,37
"1618",35.3982,-115.8658,"Kingman",NA,93,140
"831",35.1492,-119.8456,"Bakersfield",2,12,19
"3909",34.2056,-116.2466,"San Bernardino",NA,53,71
"3846",34.0798,-116.6274,"San Bernardino",NA,120,110
"4010",36.70935,-120.04949,"Monterey",3.6,31,51
"3624",34.2049,-117.9406,"San Bernardino",NA,90,110
"2353",34.3113,-114.4663,"Needles",NA,63,73
"1137",36.1544,-117.5895,"Death Valley",6.3,20,86
"2037",34.6885,-115.5719,"Needles",NA,42,58
"1640",35.1836,-115.3867,"Kingman",NA,83,100
"849",35.5746,-118.5064,"Bakersfield",21.6,13,120
"544",36.09319,-117.75781,"Death Valley",13.3,24,61
"4530",39.18123,-120.58161,"Chico",16.5,23,70
"2316",34.3384,-114.5659,"Needles",NA,83,79
"1893",34.9984,-115.3882,"Needles",NA,29,51
"3583",34.0419,-117.8599,"San Bernardino",NA,88,160
"4346",41.4644,-120.2872,"Alturas",NA,260,180
"4369",39.77528,-122.38016,"Ukiah",3.3,52,47
"4171",37.06821,-120.21828,"San Jose",3.4,62,65
"1036",38.8019,-121.4238,"Sacramento",2,33,36
"956",35.8613,-117.9832,"Trona",2.4,19,95
"2318",34.2977,-114.524,"Needles",NA,48,86
"4738",39.10849,-121.82416,"Chico",12.4,109,116
"3677",NA,NA,"San Bernardino",NA,170,190
"4119",36.7762,-119.54047,"Fresno",5.1,400,99
"1218",36.0154,-119.8962,"Fresno",10.5,69,99
"3265",34.2563,-117.5531,"San Bernardino",NA,72,94
"309",34.16614,-115.62103,"Needles",2.7,18,51
"917",35.6217,-117.3652,"Trona",30,11,49
"276",34.54944,-120.07659,"Santa Maria",8.5,30,85
"3107",34.5939,-116.7158,"San Bernardino",NA,54,81
"1719",35.0261,-115.9926,"Kingman",NA,24,45
"397",36.20179,-116.76632,"Death Valley",38,49,100
"4245",41.5633,-120.2691,"Alturas",NA,25,110
"4542",39.82288,-120.93698,"Chico",4.9,35,98
"3177",34.5972,-116.3398,"San Bernardino",NA,60,65
"3750",34.0516,-117.0979,"San Bernardino",NA,54,57
"4497",39.67603,-120.62404,"Chico",3.4,187,74
"5030",41.69754,-123.90406,"Weed",11.9,812,117
"2863",34.8501,-116.1369,"San Bernardino",NA,52,60
"4859",38.12925,-122.45464,"Santa Rosa",10.7,165,103
"4928",39.06278,-122.71184,"Ukiah",17.9,101,108
"3071",34.7173,-116.8325,"San Bernardino",NA,150,90
"4567",40.83354,-120.64574,"Susanville",1.7,86,72
"2772",34.7874,-116.8555,"San Bernardino",NA,42,110
"4784",41.82579,-122.29039,"Weed",6.6,130,132
"4337",41.9166,-120.1055,"Alturas",NA,37,110
"3142",34.6936,-116.3188,"San Bernardino",NA,29,39
"768",34.28899,-114.91215,"Needles",3.3,29,86
"1413",35.2822,-115.4133,"Kingman",4.3,36,120
"105",34.01019,-118.21825,"Los Angeles",2.2,38,125
"221",37.45314,-121.28287,"San Jose",16,90,98
"2816",34.7536,-116.4078,"San Bernardino",NA,90,74
"452",34.41322,-116.41918,"San Bernardino",2.7,86,73
"4876",38.44702,-122.9224,"Santa Rosa",6.4,757,87
"987",38.0294,-120.1971,"Sacramento",2.8,50,98
"22",34.32008,-118.33013,"Los Angeles",2,55,75
"3542",34.3044,-116.4288,"San Bernardino",NA,58,75
"4905",39.56387,-121.82911,"Chico",7.3,182,196
"3652",34.0489,-117.6731,"San Bernardino",NA,70,180
"1788",35.8426,-115.8562,"Kingman",NA,50,47
"3914",34.2051,-116.0527,"San Bernardino",NA,44,78
"3717",34.0215,-117.4776,"San Bernardino",NA,84,160
"3447",34.4988,-116.7922,"San Bernardino",NA,46,72
"4013",37.0974,-120.42704,"San Jose",4.1,72,85
"3545",34.3582,-116.494,"San Bernardino",NA,69,72
"3982",36.55868,-119.34044,"Fresno",2.9,52,99
"4104",37.7626,-120.7819,"San Jose",2.1,77,82
"2191",34.361,-115.8428,"Needles",NA,29,45
"4612",39.65014,-120.31139,"Chico",4.4,97,142
"1312",37.0564,-119.2443,"Mariposa",2.4,18,79
"1508",35.4735,-115.8206,"Kingman",NA,41,64
"287",33.69017,-115.69511,"Salton Sea",3.2,19,89
"3114",34.5593,-116.5562,"San Bernardino",NA,48,68
"4669",41.10319,-121.98014,"Alturas",6.8,16,154
"3148",34.522,-116.2975,"San Bernardino",NA,130,82
"1009",33.7736,-115.1719,"Salton Sea",4.5,13,46
"2230",34.3569,-115.3297,"Needles",NA,32,42
"4555",40.58527,-120.24409,"Susanville",5.1,110,79
"1425",35.0515,-114.9409,"Kingman",NA,54,110
"4691",40.159,-122.75296,"Redding",2.3,942,54
"4434",41.41892,-120.60849,"Alturas",2.4,39,105
"3704",34.204,-117.4445,"San Bernardino",NA,47,70
"602",37.6417,-118.92619,"Mariposa",5.3,83,135
"1855",34.8571,-115.8237,"Needles",NA,20,39
"5020",40.45368,-123.6943,"Redding",12.7,52,59
"3627",34.2181,-117.897,"San Bernardino",NA,150,90
"4359",38.86449,-122.02722,"Santa Rosa",6.2,70,62
"3274",34.3327,-117.5278,"San Bernardino",NA,23,49
"1256",35.0222,-120.6073,"San Luis Obispo",14.7,23,73
"2853",34.7951,-116.2581,"San Bernardino",NA,200,69
"3474",34.3361,-116.5152,"San Bernardino",NA,41,82
"483",34.18571,-117.14115,"San Bernardino",5.6,8,58
"1902",34.7752,-115.4532,"Needles",NA,51,49
"4972",39.13038,-123.18126,"Ukiah",9.6,55,109
"4115",37.81536,-120.94276,"San Jose",2.5,41,61
"479",34.23569,-117.78764,"San Bernardino",5.5,62,90
"1943",34.88,-114.7961,"Needles",NA,61,97
"247",34.92016,-119.78018,"Los Angeles",25.8,20,54
"4920",38.961,-123.05326,"Santa Rosa",4,94,66
"3101",34.6516,-116.5635,"San Bernardino",NA,58,83
"49",36.66052,-117.04459,"Death Valley",13.5,15,52
"3396",34.4923,-117.0235,"San Bernardino",NA,53,99
"4913",38.88714,-122.51225,"Santa Rosa",6.1,106,186
"1511",35.3602,-115.9478,"Kingman",NA,87,72
"305",33.68949,-115.41666,"Salton Sea",2.5,24,68
"1925",34.806,-115.1086,"Needles",NA,60,160
"2606",34.2362,-114.3808,"Needles",NA,53,78
"3189",34.6373,-116.2693,"San Bernardino",NA,93,78
"1235",36.3588,-119.8494,"Fresno",3.3,53,78
"3079",34.5891,-116.8301,"San Bernardino",NA,44,98
"4987",40.75861,-124.02677,"Eureka",2.8,172,142
"738",38.0169,-121.94419,"Sacramento",5.1,41,66
"3509",34.468,-116.327,"San Bernardino",NA,55,51
"1118",36.138,-121.5858,"Monterey",7,70,75
"900",35.338,-116.399,"Trona",7.9,34,62
"2242",34.2671,-115.4658,"Needles",NA,48,69
"2311",34.2672,-114.6502,"Needles",NA,38,53
"1659",35.0268,-115.3251,"Kingman",NA,40,53
"614",37.16754,-118.52984,"Mariposa",18.9,49,86
"3092",34.7415,-116.6654,"San Bernardino",NA,52,69
"3927",36.27532,-119.09307,"Fresno",1.8,770,59
"1123",38.4187,-119.4248,"Walker Lake",42.3,15,71
"4790",41.92173,-122.59328,"Weed",7.1,93,80
"2937",34.6561,-117.5218,"San Bernardino",NA,71,80
"1484",35.0099,-114.932,"Kingman",NA,63,110
"4659",38.78829,-122.29528,"Santa Rosa",9.2,95,95
"1905",34.9467,-115.4444,"Needles",NA,52,62
