rec_no,labno,labno2,prev_labno,fldnam,coll_date,fldnam_an,descript,aov_code,replicate,loc_count,grainsize,dataset,stype,soil_horiz,color,setting,smpgrsize,datum,photos,acchanwid,fldplnwid,waterdep,watcol,flowstage,flowrate,collector,strbed,relief,contamsou,contampot,contamdegr,veg,formation,anal_notes,joinname,latitude,longitude,quad24code,quad250cod,quad100cod,fips,huc_8,category,qd250name,typedesc,medium,source,source_mod,upsieve,dried,stypenote,prime_id,laslid,ornlid,srlid,lllid,site,xsite,replc,labcond,grabs,samphr,orgn_pct,study,sgeounit,alk,o_diss,scin,airtemp,wtrtemp,ph,cond,strflow,str_chan,weath,veg_dens,rock_type,rock_col,odor,icp40_job,al_icp40,ca_icp40,fe_icp40,k_icp40,mg_icp40,na_icp40,p_icp40,ti_icp40,ag_icp40,as_icp40,au_icp40,ba_icp40,be_icp40,bi_icp40,cd_icp40,ce_icp40,co_icp40,cr_icp40,cu_icp40,eu_icp40,ga_icp40,ho_icp40,la_icp40,li_icp40,mn_icp40,mo_icp40,nb_icp40,nd_icp40,ni_icp40,pb_icp40,sc_icp40,sn_icp40,sr_icp40,ta_icp40,th_icp40,u_icp40,v_icp40,y_icp40,yb_icp40,zn_icp40,cs_icp40,rb_icp40,sb_icp40,zr_icp40,as_job,as_aa,se_job,se_aa,hg_job,hg_aa,sb_job,sb_aa,te_job,te_aa,tl_job,tl_aa,w_job,w_vs,au_job,au_aa,pdpt_job,pd_aa,pt_aa,icp10_job,ag_icp10,as_icp10,au_icp10,bi_icp10,cd_icp10,cu_icp10,mo_icp10,pb_icp10,sb_icp10,zn_icp10,ga_icp10,hg_icp10,se_icp10,te_icp10,tl_icp10,icp16_job,al_icp16,ca_icp16,fe_icp16,k_icp16,mg_icp16,na_icp16,p_icp16,si_icp16,ti_icp16,ba_icp16,cr_icp16,mn_icp16,nb_icp16,sr_icp16,y_icp16,zr_icp16,inaajob_us,inaajob_be,na_inaa,sc_inaa,ti_inaa,cr_inaa,fe_inaa,co_inaa,ni_inaa,zn_inaa,as_inaa,br_inaa,rb_inaa,sr_inaa,zr_inaa,mo_inaa,sb_inaa,cs_inaa,ba_inaa,la_inaa,ce_inaa,nd_inaa,sm_inaa,eu_inaa,tb_inaa,yb_inaa,lu_inaa,hf_inaa,ta_inaa,w_inaa,au_inaa,th_inaa,u_inaa,dn_job,u_dn,th_dn,xrf_job,sio2_xrf,al2o3_xrf,fe2o3_xrf,mgo_xrf,cao_xrf,na2o_xrf,k2o_xrf,tio2_xrf,p2o5_xrf,mno_xrf,loi925c,c_s_job,c_tot,c_org,c_co3,s_tot,al_nure,ca_nure,fe_nure,k_nure,mg_nure,na_nure,ag_nure,as_nure,au_nure,b_nure,ba_nure,be_nure,bi_nure,br_nure,cd_nure,ce_nure,cl_nure,co_nure,cr_nure,cs_nure,cu_nure,dy_nure,eu_nure,f_nure,hf_nure,hg_nure,la_nure,li_nure,lu_nure,mn_nure,mo_nure,nb_nure,ni_nure,p_nure,pb_nure,pt_nure,rb_nure,sb_nure,sc_nure,se_nure,sm_nure,sn_nure,sr_nure,ta_nure,tb_nure,th_nure,ti_nure,v_nure,w_nure,y_nure,yb_nure,zn_nure,zr_nure,u_nure,nure_meth,zip3,congdist
RA000450,C-196334,,EKB447,61376,19800126,61376,"POSSIBLE O.R. VEHICLE USE BRAIDED",,,1,,RASS-CA,40,,,,,NAD27,,8-16',,"<2""",,dry,rapid,SC,fines-->boulders,24',other,poss,,,QAL,,,34.04859,-115.73304,35116SWC4,35116,35116SW,f06071,18100100,RASS,Needles,STRM-SED-DRY,Sediment,Stream,Dry,180,<100oC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRP-03567,7.25,2.704,5.74,2.16,0.96,2.47,0.085,0.651,-2,-10,-8,605,2,-50,-2,187,14,24,50,3,20,-4,92,12,771,3,30,83,14,20,13,-50,338,-40,35,-100,166,50,5,56,,,,,MRP-03567,3.2,MRP-03567,-0.2,MRP-03567,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,922,0641C2
RA000451,C-196335,,EKB451,45377,19800521,45377,"LOTS OF GARBAGE IN STREAM BED ALSO LOT OF VEGATATION",,,1,,RASS-CA,40,,,,,NAD27,,4-8',,"<2""",,dry,mod,PS,"fines-->sand, organic",55',other,poss,,,QAL,,,34.13641,-117.53362,35118SWD3,35118,35118SW,f06071,18070203,RASS,"San Bernardino",STRM-SED-DRY,Sediment,Stream,Dry,180,<100oC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRP-03567,7.795,3.549,4.63,1.6,1.45,2.29,0.115,0.746,-2,-10,-8,641,1,-50,-2,87,12,34,19,2,21,-4,44,15,705,-2,22,52,14,60,13,-50,490,-40,13,-100,123,23,2,114,,,,,MRP-03567,1.5,MRP-03567,-0.2,MRP-03567,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,917,0626C2
RA000452,C-196336,,EKB457,41389,19810331,41389,"VERY SHALLOW DRAINAGE FROM TOWN AREA",,,1,,RASS-CA,40,,,,,NAD27,,2-4',,"<2""",,dry,sluggish,JB,fines-->pebbles,16',urban,poss,,,"QAL,QC",,,35.21204,-117.97346,36118SWA3,36118,36118SW,f06029,18090206,RASS,Trona,STRM-SED-DRY,Sediment,Stream,Dry,180,<100oC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRP-03567,8.42,1.733,3.24,2.61,0.87,2.35,0.09,0.415,-2,-10,-8,824,2,-50,-2,77,9,18,15,-2,22,-4,39,44,572,-2,20,34,12,14,9,-50,317,-40,15,-100,72,21,2,78,,,,,MRP-03567,7.4,MRP-03567,-0.2,MRP-03567,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,935,0622C2
RA000453,C-196337,,EKB461,45380,19800520,45380,,,,1,,RASS-CA,40,,,,,NAD27,,2-4',,"<2""",,dry,mod,PS,fines-->pebbles,15',none,"not app",,,QC,,,34.37591,-117.50491,35118SWD1,35118,35118SW,f06071,18090208,RASS,"San Bernardino",STRM-SED-DRY,Sediment,Stream,Dry,180,<100oC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRP-03567,4.525,2.247,26.3,1.34,0.54,1.175,0.065,1.155,-2,-10,-8,463,-1,-50,-2,430,36,122,26,4,19,-4,235,8,1990,8,41,209,14,20,13,-50,250,-40,96,-100,557,89,9,74,,,,,MRP-03567,4.5,MRP-03567,-0.2,MRP-03567,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,923,0626C2
RA000454,C-196338,,EKB462,41397,19810404,41397,"METAMORPHOSED GRANITE GRANITE-GNEISS. LOS ANGELES AQUEDUCT UNDERNEATH US",,,1,,RASS-CA,40,,,,,NAD27,,2-4',,"<2""",,dry,rapid,JB,sand-->boulders,136',none,"not app",,,GR,,,35.89574,-117.91591,36118NWA1,36118,36118NW,f06027,18090205,RASS,Trona,STRM-SED-DRY,Sediment,Stream,Dry,180,<100oC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRP-03567,7.79,5.723,9.07,1.75,2.1,1.5,0.285,0.819,-2,-10,-8,534,1,-50,-2,166,26,28,70,3,24,-4,75,21,1380,4,40,94,18,13,40,-50,530,-40,30,-100,283,67,6,99,,,,,MRP-03567,2.5,MRP-03567,-0.2,MRP-03567,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,935,0625C2
RA000455,C-196339,,EKB464,52376,19800514,52376,,,,1,,RASS-CA,40,,,,,NAD27,,4-8',,"<2""",,dry,"very rapid",PS,"fines-->boulders, organic",14',none,"not app",,,"PEC,QAL",,,34.01862,-116.76812,35118SEB4,35118,35118SE,f06065,18100200,RASS,"San Bernardino",STRM-SED-DRY,Sediment,Stream,Dry,180,<100oC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRP-03567,7.44,2.368,3.34,2.79,1.125,2.535,0.13,0.373,-2,-10,-8,814,2,-50,-2,105,14,17,47,-2,17,-4,55,14,643,-2,16,48,14,16,13,-50,310,-40,19,-100,97,30,3,58,,,,,MRP-03567,1.9,MRP-03567,-0.2,MRP-03567,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,922,0641C2
RA000456,C-196340,,EKB465,55380,19800506,55380,,,,1,,RASS-CA,40,,,,,NAD27,,4-8',,"<2""",,dry,rapid,SC,fines-->boulders,765',none,"not app",,,"GRA,BI,QC",,,34.41322,-116.41918,35118SEE1,35118,35118SE,f06071,18100100,RASS,"San Bernardino",STRM-SED-DRY,Sediment,Stream,Dry,180,<100oC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRP-03567,6.295,3.218,18,1.63,1.435,1.885,0.1,0.803,-2,-10,-8,487,-1,-50,-2,156,28,86,43,3,18,-4,78,14,1160,4,21,79,21,17,17,-50,318,-40,21,-100,451,48,5,73,,,,,MRP-03567,2.7,MRP-03567,-0.2,MRP-03567,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,923,0641C2
RA000457,C-196341,,EKB468,30418,19810823,30418,,,,1,,RASS-CA,37,,,,,NAD27,,8-16',,"8-16""",,low,"very rapid",KB,fines-->boulders,12',none,"not app",,,Metamorphic?,,,37.83139,-119.19802,38120NWG2,38120,38120NW,f06051,18090101,RASS,Mariposa,STRM-SED-WET,Sediment,Stream,Wet,180,<100oC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRP-03567,6.995,0.872,3.58,3.16,0.565,2.195,0.06,0.168,-2,24,-8,1760,2,-50,-2,76,13,16,85,-2,19,-4,40,28,836,6,16,33,14,27,7,-50,119,-40,13,-100,72,22,3,92,,,,,MRP-03567,27.8,MRP-03567,0.7,MRP-03567,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,935,0625C2
RA000459,C-196343,,EKB474,67382,19800210,67382,"BRAIDED, VERY BROAD 25M WASH 3' CUT IN UNCEMENTED ALLUVIUM",,,1,,RASS-CA,40,,,,,NAD27,,>16',,"<2""",,dry,mod,SC,fines-->boulders,64',none,"not app",,,QAL,,,34.52836,-115.11287,35116NWH4,35116,35116NW,f06071,18100100,RASS,Needles,STRM-SED-DRY,Sediment,Stream,Dry,180,<100oC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRP-03567,8.925,2.336,3.14,2.36,0.64,3.265,0.16,0.517,-2,-10,-8,580,3,-50,-2,164,7,12,19,3,28,-4,81,31,510,-2,40,76,8,18,7,-50,483,-40,22,-100,73,36,4,77,,,,,MRP-03567,2.1,MRP-03567,-0.2,MRP-03567,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,922,0641C2
RA000460,C-196344,,EKB478,71380,19800111,71380,"DOWN STREAM OF DIRT RD VERY LITTLE GRAVEL 75' FM HWY 95",,,1,,RASS-CA,40,,,,,NAD27,,4-8',,"<2""",,dry,mod,SC,fines-->cobbles,5',other,poss,,,QAL,,,34.38247,-114.65268,35116SEC1,35116,35116SE,f06071,15030101,RASS,Needles,STRM-SED-DRY,Sediment,Stream,Dry,180,<100oC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRP-03567,5.88,3.617,18.7,1.52,1.63,1.74,0.07,1.128,-2,-10,-8,597,-1,-50,-2,115,28,137,51,-2,24,-4,62,14,1570,6,33,67,36,19,21,-50,372,-40,23,-100,392,50,4,139,,,,,MRP-03567,3.4,MRP-03567,-0.2,MRP-03567,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,922,0641C2
RA000461,C-196345,,EKB479,50381,19800428,50381,"TRASH CANS UP STREAM",,,1,,RASS-CA,40,,,,,NAD27,,8-16',,"<2""",,dry,mod,SC,fines-->cobbles,17',urban,def,,,"PTG,BI",,,34.46051,-116.9765,35118SEA1,35118,35118SE,f06071,18100100,RASS,"San Bernardino",STRM-SED-DRY,Sediment,Stream,Dry,180,<100oC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRP-03567,7.745,3.05,4.7,2.53,1.07,2.675,0.1,0.484,-2,-10,-8,829,2,-50,-2,97,10,29,41,2,26,-4,48,18,1410,-2,30,46,14,28,11,-50,517,-40,20,-100,144,36,4,88,,,,,MRP-03567,3,MRP-03567,-0.2,MRP-03567,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,923,0641C2
RA000462,C-196346,,EKB483,43385D1,19800503,43385D1,"SITE FUTURE URBAN DEVELOPMENT",,,1,,RASS-CA,40,,,,,NAD27,,2-4',,"<2""",,dry,mod,PS,"fines-->pebbles, organic",4',none,"not app",,,"QC,GR",,,34.79841,-117.7114,35118NWC2,35118,35118NW,f06037,18090206,RASS,"San Bernardino",STRM-SED-DRY,Sediment,Stream,Dry,180,<100oC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRP-03567,7.46,2.378,6.02,2.01,1.07,2.365,0.13,0.578,-2,-10,-8,631,1,-50,-2,122,12,40,21,3,24,-4,60,30,635,2,25,57,16,17,11,-50,408,-40,48,-100,150,28,3,75,,,,,MRP-03567,3.4,MRP-03567,-0.2,MRP-03567,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,935,0625C2
RA000463,C-196347,,EKB486,63378,19800125,63378,"BRAIDED STREAM",,,1,,RASS-CA,40,,,,,NAD27,,>16',,"<2""",,dry,mod,PS,fines-->pebbles,52',none,"not app",,,QAL,,,34.15396,-115.56808,35116SWD3,35116,35116SW,f06071,18100100,RASS,Needles,STRM-SED-DRY,Sediment,Stream,Dry,180,<100oC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRP-03567,8.235,2.247,2.66,2.17,0.675,2.985,0.08,0.374,-2,-10,-8,658,2,-50,-2,137,9,13,16,-2,23,-4,72,18,495,-2,21,58,11,18,9,-50,441,-40,21,-100,64,29,3,47,,,,,MRP-03567,1.9,MRP-03567,-0.2,MRP-03567,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,922,0641C2
RA000464,C-196348,,EKB493,42385,19800501,42385,"NEAR EDWARDS A.F.B. BOMBING AREA & TIXIC AREA MAY HAVE SOME IN GROUND WATER",,,1,,RASS-CA,40,,,,,NAD27,,2-4',,"<2""",,dry,slow,PS,"fines-->pebbles, organic",25',other,poss,,,QAL,,,34.88065,-117.80312,35118NWB1,35118,35118NW,f06029,18090206,RASS,"San Bernardino",STRM-SED-DRY,Sediment,Stream,Dry,180,<100oC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRP-03567,7.605,2.394,2.25,2.11,0.72,2.775,0.08,0.303,-2,-10,-8,799,2,-50,-2,68,6,23,14,-2,19,-4,37,19,398,-2,15,31,11,14,8,-50,473,-40,9,-100,63,17,2,41,,,,,MRP-03567,2.8,MRP-03567,-0.2,MRP-03567,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,935,0622C2
RA000465,C-196349,,EKB497,42379,19800522,42379,,,,1,,RASS-CA,37,,,,,NAD27,,8-16',,"4-8""",,normal,"very rapid",PS,fines-->boulders,306',none,"not app",,,"GR,PTC,QC",,,34.30034,-117.83186,35118SWB2,35118,35118SW,f06037,18070106,RASS,"San Bernardino",STRM-SED-WET,Sediment,Stream,Wet,180,<100oC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRP-03567,8.425,3.612,6.88,1.67,1.51,3.01,0.145,0.732,-2,-10,-8,1160,-1,-50,-2,131,17,25,32,3,25,-4,70,22,1560,2,31,66,20,12,16,-50,647,-40,8,-100,166,43,5,98,,,,,MRP-03567,2,MRP-03567,-0.2,MRP-03567,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,917,0626C2
RA000466,C-196350,,EKB499,41385,19800501,41385,,,,1,,RASS-CA,40,,,,,NAD27,,8-16',,"<2""",,dry,mod,PS,"fines-->cobbles, organic",,none,"not app",,,"QAL,QL,QS",,,34.85684,-117.97424,35118NWA2,35118,35118NW,f06029,18090206,RASS,"San Bernardino",STRM-SED-DRY,Sediment,Stream,Dry,180,<100oC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRP-03567,7.55,3.098,7.33,2,0.715,2.57,0.12,0.891,-2,-10,-8,678,1,-50,-2,179,10,33,16,3,26,-4,86,24,640,3,44,87,9,13,11,-50,466,-40,34,-100,173,40,4,68,,,,,MRP-03567,11.2,MRP-03567,-0.2,MRP-03567,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,935,0622C2
RA000467,C-196351,,EKB500,45410,19810306,45410,"WASH IN ALLUVIUM",,,1,,RASS-CA,40,,,,,NAD27,,>16',,"<2""",,dry,mod,JB,fines-->cobbles,2',none,"not app",,,,,,37.05748,-117.4704,38118SWE4,38118,38118SW,f06027,18090203,RASS,Goldfield,STRM-SED-DRY,Sediment,Stream,Dry,180,<100oC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRP-03567,4.965,11.4,2.85,1.66,3.855,1.335,0.13,0.314,-2,19,-8,512,1,-50,-2,71,11,25,24,-2,12,-4,40,23,623,2,8,32,20,43,6,-50,490,-40,8,-100,69,14,2,123,,,,,MRP-03567,21.3,MRP-03567,0.3,MRP-03567,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,935,0625C2
RA000468,C-196352,,EKB501,49379,19800515,49379,,,,1,,RASS-CA,37,,,,,NAD27,,4-8',,"4-8""",,normal,mod,PS,"fines-->boulders, organic",4',none,"not app",,,"BI,QC,GRA",,,34.33408,-117.07543,35118SWH2,35118,35118SW,f06071,18090208,RASS,"San Bernardino",STRM-SED-WET,Sediment,Stream,Wet,180,<100oC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRP-03567,7.05,1.082,4.37,2.28,0.965,2.39,0.07,0.402,-2,-10,-8,623,1,-50,-2,124,13,33,15,2,20,-4,62,13,508,-2,15,57,12,11,12,-50,168,-40,19,-100,81,23,2,34,,,,,MRP-03567,0.8,MRP-03567,-0.2,MRP-03567,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,923,0641C2
RA000469,C-196353,,EKB504,57378,19800507,57378,"SLIGHTLY BRAIDED NEAR COPPER MT & FAULTS",,,1,,RASS-CA,40,,,,,NAD27,,>16',,"<2""",,dry,mod,PS,fines-->cobbles,36',urban,poss,,,"QC,PTG,GR,QL",,,34.18516,-116.18766,35118SEG3,35118,35118SE,f06071,18100100,RASS,"San Bernardino",STRM-SED-DRY,Sediment,Stream,Dry,180,<100oC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRP-03567,8.44,3.045,3.62,1.87,1.185,2.815,0.125,0.451,-2,-10,-8,567,2,-50,-2,123,11,24,19,2,24,-4,62,15,638,-2,20,58,16,14,15,-50,439,-40,20,-100,95,38,4,65,,,,,MRP-03567,1.1,MRP-03567,-0.2,MRP-03567,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,922,0641C2
RA000470,C-196354,,EKB506,55399,19810225,55399,"SOME FE STAIN & WHITE/BUFF COLOR RYOLITES & TUFF",,,1,,RASS-CA,40,,,,,NAD27,,4-8',,"<2""",,dry,slow,RT,sand-->cobbles,8',none,"not app",,,"TGR,TVR,PVB",,,36.1064,-116.43488,37118SEE4,37118,37118SE,f06027,18090202,RASS,"Death Valley",STRM-SED-DRY,Sediment,Stream,Dry,180,<100oC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRP-03567,7.74,2.52,3.32,2.66,1.085,2.355,0.07,0.424,-2,-10,-8,856,2,-50,-2,101,12,23,25,-2,21,-4,53,36,685,2,20,41,18,25,10,-50,396,-40,16,-100,85,20,2,75,,,,,MRP-03567,8.5,MRP-03567,-0.2,MRP-03567,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,923,0625C2
RA000471,C-196355,,EKB507,47390,19810401,47390,"CLASTS ARE GRANITIC AND VOLCANIC.",,,1,,RASS-CA,40,,,,,NAD27,,8-16',,"<2""",,dry,slow,JB,"sand, pebbles",5',none,"not app",,,,,,35.30726,-117.29224,36118SWF2,36118,36118SW,f06071,18090207,RASS,Trona,STRM-SED-DRY,Sediment,Stream,Dry,180,<100oC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRP-03567,8.575,3.355,4.91,2.15,1.435,2.08,0.1,0.495,-2,-10,-8,710,1,-50,-2,67,13,23,26,2,23,-4,34,34,970,-2,23,37,12,14,17,-50,422,-40,12,-100,161,26,3,87,,,,,MRP-03567,6.3,MRP-03567,-0.2,MRP-03567,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,923,0625C2
RA000472,C-196356,,EKB525,48376D1,19800416,48376D1,"SAMPLE UNDER RD STREAM PROBABLY DIVERTED BY MAN MADE LEVEES CONTAMINAN",,,1,,RASS-CA,40,,,,,NAD27,,8-16',,"<2""",,dry,mod,PS,sand-->cobbles,12',urban,def,,,"QAL,QC",,,34.05351,-117.20684,35118SWG4,35118,35118SW,f06071,18070203,RASS,"San Bernardino",STRM-SED-DRY,Sediment,Stream,Dry,180,<100oC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRP-03567,7.665,2.819,4.08,2.05,1.075,2.265,0.09,0.545,-2,-10,-8,706,1,-50,-2,71,12,19,17,2,22,-4,35,21,731,-2,17,40,13,11,20,-50,290,-40,10,-100,108,40,4,72,,,,,MRP-03567,1.9,MRP-03567,-0.2,MRP-03567,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,923,0641C2
